timestamp,cpu_usage,memory_usage,cpu_mean,mem_mean,cpu_std,mem_std,cpu_z,mem_z,anomaly_score,state
1768482792,0.0068836,0.342286,0.0227742,0.345726,0.0210366,0.00244281,-0.755376,-1.40843,2.16381,NORMAL
1768482793,0.00312305,0.342218,0.0225859,0.34547,0.0211859,0.00239238,-0.91867,-1.35903,2.2777,NORMAL
1768482794,0.023125,0.34319,0.0213245,0.345312,0.0199538,0.00238189,0.0902356,-0.891076,0.981312,NORMAL
1768482795,0.102886,0.352873,0.0220672,0.345453,0.02241,0.00268082,3.60637,2.76799,6.37436,ANOMALY
1768482796,0.0807765,0.36019,0.0229777,0.345844,0.0241541,0.0037382,2.39291,3.83756,6.23047,ANOMALY
1768482797,0.0878845,0.362307,0.0236655,0.346306,0.0256522,0.00475079,2.50345,3.36806,5.87152,ANOMALY
1768482798,0.0909091,0.363724,0.0251692,0.346806,0.02811,0.00567771,2.33867,2.9796,5.31827,ANOMALY
1768482799,0.0908521,0.363684,0.0278639,0.347321,0.030316,0.00643421,2.07772,2.54309,4.62082,ANOMALY
1768482800,0.105594,0.360798,0.0297963,0.347748,0.0332222,0.00687426,2.28153,1.89828,4.17981,ANOMALY
1768482801,0.120852,0.361651,0.0329046,0.348218,0.0370171,0.00731279,2.37585,1.83696,4.21281,ANOMALY
1768482802,0.103643,0.360937,0.0361301,0.348657,0.0387825,0.00765959,1.74082,1.6032,3.34401,WARNING
1768482803,0.0793451,0.361016,0.0386289,0.349118,0.0390703,0.00796723,1.04213,1.49339,2.53551,WARNING
1768482804,0.116614,0.364158,0.0423075,0.349677,0.0409969,0.00840261,1.8125,1.72333,3.53583,WARNING
1768482805,0.119122,0.367641,0.0461533,0.350356,0.0425803,0.00898363,1.71368,1.92403,3.63771,WARNING
1768482806,0.138732,0.369502,0.0505691,0.351097,0.0450136,0.00959486,1.95859,1.91827,3.87685,WARNING
1768482807,0.123193,0.369167,0.0544465,0.351825,0.0460797,0.0100965,1.4919,1.71763,3.20953,WARNING
1768482808,0.117536,0.369385,0.0575091,0.352636,0.0471064,0.0104896,1.27429,1.59667,2.87095,WARNING
1768482809,0.115987,0.369107,0.0607708,0.353456,0.0476517,0.0107796,1.15875,1.45187,2.61063,WARNING
1768482810,0.120603,0.369021,0.0644782,0.354293,0.0478356,0.0109792,1.17329,1.34146,2.51475,WARNING
1768482811,0.126805,0.368887,0.0685385,0.35513,0.047784,0.011102,1.21937,1.23918,2.45855,NORMAL
1768482812,0.12798,0.369269,0.0725962,0.355977,0.0474899,0.0111793,1.16622,1.18905,2.35527,NORMAL
1768482813,0.138906,0.375848,0.0770804,0.357048,0.0471873,0.0114876,1.31023,1.63652,2.94674,WARNING
1768482814,0.0764411,0.37099,0.0793367,0.357957,0.0454525,0.0114759,-0.0637066,1.13562,1.19933,NORMAL
1768482815,0.0797238,0.36927,0.0805304,0.358786,0.0449743,0.0113646,-0.0179341,0.922498,0.940432,NORMAL
1768482816,0.145637,0.373748,0.0844445,0.359748,0.0453588,0.0113687,1.34908,1.23141,2.58049,WARNING
1768482817,0.10645,0.373182,0.0873875,0.360769,0.0438,0.0111515,0.435207,1.11305,1.54826,NORMAL
1768482818,0.0878294,0.369859,0.0897304,0.361687,0.0418373,0.0107198,-0.045438,0.762274,0.807712,NORMAL
1768482819,0.139272,0.376777,0.0938092,0.362838,0.0404816,0.0104215,1.12306,1.33754,2.4606,NORMAL
1768482820,0.0725907,0.377417,0.0953731,0.364012,0.0386855,0.0100063,-0.588913,1.33972,1.92863,NORMAL
1768482821,0.0821832,0.370707,0.097716,0.36496,0.0355613,0.00921567,-0.43679,0.62355,1.06034,NORMAL
1768482822,0.0763454,0.3719,0.100031,0.365947,0.0316141,0.00827175,-0.749222,0.719578,1.4688,NORMAL
1768482823,0.115433,0.372305,0.103775,0.36695,0.0260826,0.00707067,0.446958,0.757368,1.20433,NORMAL
1768482824,0.112367,0.373977,0.10675,0.367977,0.0213798,0.00563634,0.262716,1.06461,1.32733,NORMAL
1768482825,0.12218,0.346611,0.107393,0.367768,0.0215435,0.0062719,0.686403,-3.37319,4.05959,ANOMALY
1768482826,0.077116,0.33836,0.107271,0.36704,0.0217037,0.00810686,-1.38939,-3.53781,4.92721,ANOMALY
1768482827,0.0679245,0.339088,0.106606,0.366266,0.0225762,0.00950896,-1.71336,-2.8582,4.57156,ANOMALY
1768482828,0.132749,0.345523,0.108,0.365659,0.0228541,0.0102068,1.0829,-1.97282,3.05572,WARNING
1768482829,0.0350877,0.345953,0.106141,0.365068,0.0261966,0.0108002,-2.71233,-1.7699,4.48223,ANOMALY
